;hourly;seasonal;yearly
biomass.biodiesel;0;0;1
biomass.solid;0;0;1
biomass.waste;0;0;1
biomass.wood;0;0;1
coal.hardcoal;0;0;1
coal.lignite;0;0;1
commercial.appliance;0;0;1
commercial.cooling;0;0;1
commercial.lighting;0;0;1
commercial.spaceheat;1;0;0
commercial.warmwater;1;0;0
fuel.ammonia;0;0;1
fuel.biodiesel;0;0;1
fuel.biokerosine;0;0;1
fuel.diesel;0;0;1
fuel.gasoline;0;0;1
fuel.kerosine;0;0;1
fuel.lng;0;0;1
fuel.oil;0;0;1
fuel.powerfuel;0;0;1
gas.biogas;0;0;1
gas.biomethane;0;0;1
gas.hydrogen;0;0;1
gas.methane;0;0;1
heat.district;0;0;1
mobility.freight.rail;0;0;1
mobility.freight.road;0;0;1
mobility.freight.ship;0;0;1
mobility.psng.air;0;0;1
mobility.psng.rail;0;0;1
mobility.psng.road;0;0;1
oil.crude;0;0;1
power;1;0;0
residential.appliance;0;0;1
residential.cooling;0;0;1
residential.lighting;0;0;1
residential.spaceheat;1;0;0
residential.warmwater;1;0;0
uran;0;0;1
agriculture;0;0;1
industry.steam;0;0;1
industry.coke;0;0;1
industry.sinter;0;0;1
industry.crudesteel;0;0;1
industry.steel;0;0;1
industry.scrapsteel;0;0;1
industry.dristeel;0;0;1
industry.alumina;0;0;1
industry.moltenaluminium;0;0;1
industry.aluminium;0;0;1
industry.copper;0;0;1
industry.ammonia;0;0;1
industry.chlorine;0;0;1
industry.cement;0;0;1
industry.lime;0;0;1
industry.pulp;0;0;1
industry.paper;0;0;1
industry.glass.container;0;0;1
industry.glass;0;0;1
industry.chemicals;0;0;1
industry.other;0;0;1
industry.heat.medium;0;0;1
industry.heat.high;0;0;1
