k,epsAcc,z,zAcc,sAcc,modelstat,solvestat

1,       44.808675,      2727206.740099,           44.808675,            0.000000,1,1

2,       47.195192,      2308460.066232,           47.195192,            0.000000,1,1

3,       49.581710,      2291507.972654,           49.581710,            0.000000,1,1

4,       51.968227,      2282995.152440,           51.968227,            0.000000,1,1

5,       54.354745,      2276385.572316,           54.354745,            0.000000,1,1

6,       56.741262,      2272140.964640,           56.741262,            0.000000,1,1

7,       59.127780,      2270456.537776,           59.127780,            0.000000,1,1

8,       61.514297,      2270450.269651,           61.514297,            0.000000,1,1

9,       63.900815,      2270445.889537,           63.900815,            0.000000,1,1

10,       66.287332,      2270445.256073,           66.287332,            0.000000,1,1

